h_mm,h_MM,fm,model,acc,sp,eo,phase
0.0,0.0,0.1,GCN,0.7233333333333334,22.14082181453705,16.030998528003693,before
0.0,0.0,0.1,GCN,0.7366666666666667,26.455026865005493,20.480668544769287,after
0.0,0.0,0.3,GCN,0.7466666666666667,24.080267548561096,11.239690333604813,before
0.0,0.0,0.3,GCN,0.7133333333333334,22.408026456832886,20.83686590194702,after
0.0,0.0,0.5,GCN,0.7166666666666667,16.399572789669037,9.841413795948029,before
0.0,0.0,0.5,GCN,0.7533333333333333,11.057692021131516,5.392792448401451,after
0.0,0.1,0.1,GCN,0.82,3.3781033009290695,12.95715719461441,before
0.0,0.1,0.1,GCN,0.7533333333333333,17.46031790971756,8.124347031116486,after
0.0,0.1,0.3,GCN,0.72,32.77592062950134,23.647983372211456,before
0.0,0.1,0.3,GCN,0.74,36.51755750179291,25.876054167747498,after
0.0,0.1,0.5,GCN,0.7633333333333333,4.16666679084301,13.27456533908844,before
0.0,0.1,0.5,GCN,0.73,10.30982881784439,11.984702944755554,after
0.0,0.2,0.1,GCN,0.7666666666666667,6.634106487035751,21.246951818466187,before
0.0,0.2,0.1,GCN,0.7533333333333333,9.32030901312828,23.815743625164032,after
0.0,0.2,0.3,GCN,0.7533333333333333,28.532609343528748,12.219640612602234,before
0.0,0.2,0.3,GCN,0.7433333333333333,31.542640924453735,15.600591897964478,after
0.0,0.2,0.5,GCN,0.76,10.897435992956161,4.755423218011856,before
0.0,0.2,0.5,GCN,0.7666666666666667,12.339743226766586,3.9192810654640198,after
0.0,0.3,0.1,GCN,0.76,3.7037037312984467,12.086381018161774,before
0.0,0.3,0.1,GCN,0.7433333333333333,12.942613661289215,3.753047436475754,after
0.0,0.3,0.3,GCN,0.7433333333333333,17.454013228416443,4.0653906762599945,before
0.0,0.3,0.3,GCN,0.74,24.811872839927673,8.177261054515839,after
0.0,0.3,0.5,GCN,0.79,9.401709586381912,9.942960739135742,before
0.0,0.3,0.5,GCN,0.7366666666666667,15.224358439445496,6.228934600949287,after
0.0,0.4,0.1,GCN,0.7233333333333334,21.896621584892273,9.752699732780457,before
0.0,0.4,0.1,GCN,0.78,19.2511186003685,5.416231602430344,after
