h_mm,h_MM,fm,model,acc,sp,eo,phase
0.0,0.0,0.3,GCN,0.68,16.95234179496765,13.347004354000092,before
0.0,0.0,0.3,GCN,0.6933333333333334,18.6663880944252,13.501936197280884,after
0.0,0.1,0.3,GCN,0.6966666666666667,27.696487307548523,18.53611320257187,before
0.0,0.1,0.3,GCN,0.6766666666666666,26.0869562625885,16.73046201467514,after
0.0,0.2,0.3,GCN,0.7033333333333334,13.942307233810425,2.6946911588311195,before
0.0,0.2,0.3,GCN,0.69,14.966554939746857,2.216905914247036,after
0.0,0.3,0.3,GCN,0.6666666666666666,22.65886217355728,12.476418912410736,before
0.0,0.3,0.3,GCN,0.6866666666666666,19.042642414569855,5.515151470899582,after
0.0,0.4,0.3,GCN,0.66,12.897157669067383,1.9740259274840355,before
0.0,0.4,0.3,GCN,0.6366666666666667,15.760870277881622,4.10480722784996,after
0.0,0.5,0.3,GCN,0.6766666666666666,13.482441008090973,1.6967419534921646,before
0.0,0.5,0.3,GCN,0.7066666666666667,17.07775890827179,5.195260792970657,after
0.0,0.6,0.3,GCN,0.6766666666666666,10.76505035161972,7.564137130975723,before
0.0,0.6,0.3,GCN,0.68,12.667223811149597,3.990202769637108,after
0.0,0.7,0.3,GCN,0.6633333333333333,4.076087102293968,11.936432123184204,before
0.0,0.7,0.3,GCN,0.67,3.6162208765745163,15.269309282302856,after
0.0,0.8,0.3,GCN,0.6766666666666666,9.949832409620285,7.822738587856293,before
0.0,0.8,0.3,GCN,0.6433333333333333,13.900502026081085,2.769879251718521,after
0.0,0.9,0.3,GCN,0.73,14.924749732017517,8.437001705169678,before
0.0,0.9,0.3,GCN,0.6933333333333334,10.284280776977539,12.871496379375458,after
0.0,1.0,0.3,GCN,0.6766666666666666,19.021739065647125,15.800866484642029,before
0.0,1.0,0.3,GCN,0.78,27.738294005393982,17.18888133764267,after
0.1,0.0,0.3,GCN,0.6766666666666666,20.317725837230682,15.83777666091919,before
0.1,0.0,0.3,GCN,0.64,20.192307233810425,13.52449357509613,after
0.1,0.1,0.3,GCN,0.6766666666666666,12.165551632642746,5.473228543996811,before
0.1,0.1,0.3,GCN,0.6733333333333333,17.955686151981354,4.23969030380249,after
0.1,0.2,0.3,GCN,0.71,20.673076808452606,4.654591158032417,before
0.1,0.2,0.3,GCN,0.6833333333333333,6.626254320144653,7.828889787197113,after
0.1,0.3,0.3,GCN,0.6666666666666666,20.840300619602203,8.925951272249222,before
0.1,0.3,0.3,GCN,0.6766666666666666,14.715719223022461,6.0378216207027435,after
0.1,0.4,0.3,GCN,0.6833333333333333,21.07023447751999,9.086351841688156,before
0.1,0.4,0.3,GCN,0.6333333333333333,7.545986771583557,4.641148075461388,after
0.1,0.5,0.3,GCN,0.7166666666666667,21.989966928958893,11.312827467918396,before
0.1,0.5,0.3,GCN,0.6833333333333333,17.224080860614777,12.374117225408554,after
0.1,0.6,0.3,GCN,0.7466666666666667,19.753344357013702,1.1706538498401642,before
0.1,0.6,0.3,GCN,0.75,24.226588010787964,7.893597334623337,after
0.1,0.7,0.3,GCN,0.7466666666666667,26.484113931655884,9.069947898387909,before
0.1,0.7,0.3,GCN,0.7433333333333333,31.81438148021698,16.246524453163147,after
0.1,0.8,0.3,GCN,0.71,10.158862918615341,7.040783762931824,before
0.1,0.8,0.3,GCN,0.71,18.352842330932617,3.336523100733757,after
0.1,0.9,0.3,GCN,0.73,24.93729144334793,13.783322274684906,before
0.1,0.9,0.3,GCN,0.68,27.3411363363266,13.217362761497498,after
0.1,1.0,0.3,GCN,0.67,9.761705994606018,13.136705756187439,before
0.1,1.0,0.3,GCN,0.7,16.722407937049866,16.794942319393158,after
0.2,0.0,0.3,GCN,0.66,15.530936419963837,3.4677602350711823,before
0.2,0.0,0.3,GCN,0.63,15.969899296760559,9.452266991138458,after
0.2,0.1,0.3,GCN,0.64,22.867892682552338,14.511962234973907,before
0.2,0.1,0.3,GCN,0.6533333333333333,22.512541711330414,13.226248323917389,after
0.2,0.2,0.3,GCN,0.6966666666666667,10.117056965827942,7.756208628416061,before
0.2,0.2,0.3,GCN,0.67,17.746655642986298,5.7773977518081665,after
0.2,0.3,0.3,GCN,0.7,19.627925753593445,2.992481365799904,before
0.2,0.3,0.3,GCN,0.72,26.003345847129822,12.517429888248444,after
0.2,0.4,0.3,GCN,0.6666666666666666,14.423076808452606,4.874230921268463,before
0.2,0.4,0.3,GCN,0.65,8.779264241456985,5.944406613707542,after
0.2,0.5,0.3,GCN,0.66,14.276756346225739,11.737525463104248,before
0.2,0.5,0.3,GCN,0.66,13.712374866008759,1.7969924956560135,after
0.2,0.6,0.3,GCN,0.64,16.99414700269699,7.186147570610046,before
0.2,0.6,0.3,GCN,0.7466666666666667,22.533445060253143,3.829346224665642,after
0.2,0.7,0.3,GCN,0.7033333333333334,17.433109879493713,11.356572806835175,before
0.2,0.7,0.3,GCN,0.67,18.896320462226868,4.521303251385689,after
0.2,0.8,0.3,GCN,0.73,23.724916577339172,11.602871119976044,before
0.2,0.8,0.3,GCN,0.7066666666666667,17.68394708633423,7.983823120594025,after
