graph,h_mm,h_MM,fm,model,mean_acc,std_acc,mean_sp,std_sp,mean_eo,std_eo,phase,rho
Heterophilic,0.2,0.2,GCN,0.3,68.33333333333333,0.8692269873603511,7.608695589005947,3.113608448206444,9.760169312357903,3.8922046392036744,before,0.2
Heterophilic,0.2,0.2,GCN,0.3,70.06666666666665,1.1035296904831204,9.862040281295776,2.4847834287259967,8.568045422434807,2.373056237083973,after,0.2
Hete/Homo,0.8,0.2,GCN,0.3,75.79999999999998,1.203698005684518,44.678093791007996,2.737148934966703,35.551281571388245,3.0064610833663394,before,0.4
Hete/Homo,0.8,0.2,GCN,0.3,75.73333333333333,0.8537498983243791,45.85702359676361,1.8641175316343306,36.767094135284424,3.0465658321466513,after,0.4
Neutral,0.5,0.5,GCN,0.3,70.66666666666667,0.8164965809277258,21.810200810432434,4.702584895533649,9.292595237493515,4.012446999360656,before,0.5
Neutral,0.5,0.5,GCN,0.3,71.06666666666666,0.3265986323710925,18.152174055576324,5.93198717013321,12.110685408115387,4.100313635911757,after,0.5
Homo/Hete,0.2,0.8,GCN,0.3,68.46666666666667,3.1382939455839516,20.8695650100708,0.7987685194438963,11.291566044092178,2.4751026237782034,before,0.8
Homo/Hete,0.2,0.8,GCN,0.3,68.8,3.455108938626649,21.21655523777008,1.207390961347051,10.104366093873978,2.1509623967722757,after,0.8
Homophilic,0.8,0.8,GCN,0.3,68.26666666666668,2.5595138427269974,39.90384519100189,7.55142139108412,33.853631019592285,10.94788325062031,before,1.0
Homophilic,0.8,0.8,GCN,0.3,67.13333333333334,2.334285520001546,52.90551781654358,16.78294760408973,49.64343637228012,20.855419043559138,after,1.0
